year,avg_temp
1845,11.95
1846,12.40
1847,12.21
1848,12.14
1849,12.14
1850,11.71
1851,11.76
1852,11.73
1853,11.86
1854,12.24
1855,12.56
1856,12.06
1857,11.94
1858,12.23
1859,12.15
1860,11.72
1861,11.79
1862,11.73
1863,12.45
1864,11.95
1865,12.39
1866,11.58
1867,12.46
1868,12.25
1869,12.03
1870,16.12
1871,12.12
1872,12.00
1873,11.53
1874,12.33
1875,12.17
1876,12.39
1877,12.73
1878,12.24
1879,12.82
1880,12.43
1881,12.15
1882,12.29
1883,11.84
1884,11.18
1885,11.53
1886,12.44
1887,12.25
1888,12.01
1889,11.66
1890,13.50
1891,12.42
1892,12.10
1893,11.71
1894,12.92
1895,12.22
1896,12.33
1897,11.72
1898,12.49
1899,12.32
1900,12.11
1901,12.31
1902,12.22
1903,12.34
1904,12.29
1905,12.03
1906,11.66
1907,11.97
1908,11.72
1909,12.04
1910,12.00
1911,12.81
1912,12.32
1913,11.72
1914,13.10
1915,12.74
1916,13.10
1917,12.04
1918,12.19
1919,12.59
1920,12.69
1921,12.12
1922,12.86
1923,12.64
1924,12.35
1925,12.19
1926,11.74
1927,12.19
1928,12.42
1929,12.44
1930,13.00
1931,12.16
1932,12.67
1933,12.69
1934,11.85
1935,12.25
1936,12.09
1937,12.86
1938,12.60
1939,12.72
1940,12.66
1941,12.61
1942,12.80
1943,12.48
1944,12.16
1945,11.62
1946,12.86
1947,11.99
1948,13.18
1949,12.62
1950,13.21
1951,12.72
1952,12.65
1953,12.51
1954,12.76
1955,13.42
1956,12.61
1957,12.66
1958,13.09
1959,13.50
1960,13.26
1961,13.66
1962,13.01
1963,12.71
1964,12.93
1965,12.27
1966,12.81
1967,12.85
1968,12.75
1969,12.64
1970,12.35
1971,12.52
1972,13.17
1973,12.96
1974,12.23
1975,12.72
1976,12.19
1977,12.94
1978,13.05
1979,13.83
1980,12.35
1981,12.06
1982,12.91
1983,12.64
1984,11.98
1985,12.90
1986,12.22
1987,13.41
1988,12.44
1989,13.35
1990,14.14
1991,13.32
1992,12.94
1993,12.49
1994,13.78
1995,12.98
1996,12.61
1997,13.43
1998,13.74
1999,13.78
2000,13.50
2001,13.13
2002,13.42
2003,12.89
2004,14.05
2005,12.99
2006,13.28
2007,13.68
2008,13.31
2009,13.55
2010,13.82
2011,13.32
2012,13.11
2013,13.91
